aachen ɑ>aa|k>ch|ɛ>e|n>n
heterozygous h>h|ɛ>e|t>t|ɝ>er|ʌ>o|z>z|aɪ>y|g>g|ʌ>ou|s>s
hetherington h>h|ɛ>e|ð>th|ɝ>er|ɪ>i|ŋ>ng|t>t|ʌ>o|n>n
hetty h>h|ɛ>e|t>tt|i>y
hew h>h|j;u>ew
hewett h>h|j;u>ew|ɪ>e|t>tt
hewitt h>h|j;u>ew|ɪ>i|t>tt
hewlett h>h|j;u>ew|l>l|ɪ>e|t>tt
hewn h>h|j;u>ew|n>n
hexagon h>h|ɛ>e|k;s>x|ʌ>a|g>g|ɑ>o|n>n
hexagonal h>h|ɛ>e|k;s>x|æ>a|g>g|ʌ>o|n>n|ʌ>a|l>l
hey h>h|eɪ>ey
heyday h>h|eɪ>ey|d>d|eɪ>ay
heyman h>h|eɪ>ey|m>m|ʌ>a|n>n
heymann h>h|eɪ>ey|m>m|ʌ>a|n>nn
heyward h>h|eɪ>ey|w>w|ɝ>ar|d>d
heywood h>h|eɪ>ey|w>w|ʊ>oo|d>d
hezbollah h>h|ɛ>e|z>z|b>b|ʌ>o|l>ll|ʌ>ah
hi h>h|aɪ>i
hiatt h>h|aɪ>i|ʌ>a|t>tt
hiatus h>h|aɪ>i|eɪ>a|t>t|ʌ>u|s>s
hiawatha h>h|aɪ>i|ʌ>a|w>w|ɑ>a|θ>th|ʌ>a
hibbard h>h|ɪ>i|b>bb|ɝ>ar|d>d
hibbert h>h|ɪ>i|b>bb|ɝ>er|t>t
hibernate h>h|aɪ>i|b>b|ɝ>er|n>n|eɪ>a|t>te
hibernation h>h|aɪ>i|b>b|ɝ>er|n>n|eɪ>a|ʃ>ti|ʌ>o|n>n
hiccup h>h|ɪ>i|k>cc|ʌ>u|p>p
hiccups h>h|ɪ>i|k>cc|ʌ>u|p>p|s>s
hick h>h|ɪ>i|k>ck
hickey h>h|ɪ>i|k>ck|i>ey
hickman h>h|ɪ>i|k>ck|m>m|ʌ>a|n>n
hickok h>h|ɪ>i|k>ck|ʌ>o|k>k
hickory h>h|ɪ>i|k>ck|ɝ>or|i>y
hicks h>h|ɪ>i|k>ck|s>s
hickson h>h|ɪ>i|k>ck|s>s|ʌ>o|n>n
hid h>h|ɪ>i|d>d
hidalgo h>h|ɪ>i|d>d|æ>a|l>l|g>g|oʊ>o
hidden h>h|ɪ>i|d>dd|ɛ>e|n>n
hide h>h|aɪ>i|d>de
hideaway h>h|aɪ>i|d>de|ʌ>a|w>w|eɪ>ay
hideous h>h|ɪ>i|d>d|i>e|ʌ>ou|s>s
hideously h>h|ɪ>i|d>d|i>e|ʌ>ou|s>s|l>l|i>y
hideout h>h|aɪ>i|d>de|aʊ>ou|t>t
hides h>h|aɪ>i|d>de|z>s
hiding h>h|aɪ>i|d>d|ɪ>i|ŋ>ng
hier h>h|aɪ>i|ɝ>er
hierarchical h>h|aɪ>ie|r>r|ɑ>a|r>r|k>ch|ɪ>i|k>c|ʌ>a|l>l
hierarchies h>h|aɪ>ie|r>r|ɑ>a|r>r|k>ch|i>ie|z>s
hierarchy h>h|aɪ>i|ɝ>er|ɑ>a|r>r|k>ch|i>y
hieroglyphic h>h|aɪ>ie|r>r|oʊ>o|g>g|l>l|ɪ>y|f>ph|ɪ>i|k>c
hieroglyphics h>h|aɪ>ie|r>r|oʊ>o|g>g|l>l|ɪ>y|f>ph|ɪ>i|k>c|s>s
higashi h>h|i>i|g>g|ɑ>a|ʃ>sh|i>i
higginbotham h>h|ɪ>i|g>gg|ɪ>i|n>n|b>b|ɑ>o|θ>th|ʌ>a|m>m
higgins h>h|ɪ>i|g>gg|ɪ>i|n>n|z>s
higginson h>h|ɪ>i|g>gg|ɪ>i|n>n|s>s|ʌ>o|n>n
higgs h>h|ɪ>i|g>gg|z>s
high h>h|aɪ>igh
higham h>h|aɪ>igh|ʌ>a|m>m
highbrow h>h|aɪ>igh|b>b|r>r|aʊ>ow
higher h>h|aɪ>igh|ɝ>er
highest h>h|aɪ>igh|ɛ>e|s>s|t>t
highland h>h|aɪ>igh|l>l|ʌ>a|n>n|d>d
highlander h>h|aɪ>igh|l>l|æ>a|n>n|d>d|ɝ>er
highlanders h>h|aɪ>igh|l>l|æ>a|n>n|d>d|ɝ>er|z>s
highlands h>h|aɪ>igh|l>l|ʌ>a|n>n|d>d|z>s
highlight h>h|aɪ>igh|l>l|aɪ>igh|t>t
highlighted h>h|aɪ>igh|l>l|aɪ>igh|t>t|ɪ>e|d>d
highlighting h>h|aɪ>igh|l>l|aɪ>igh|t>t|ɪ>i|ŋ>ng
highlights h>h|aɪ>igh|l>l|aɪ>igh|t>t|s>s
highly h>h|aɪ>igh|l>l|i>y
highness h>h|aɪ>igh|n>n|ɛ>e|s>ss
highs h>h|aɪ>igh|z>s
highspeed h>h|aɪ>igh|s>s|p>p|i>ee|d>d
hightower h>h|aɪ>igh|t>t|aʊ>ow|ɝ>er
highway h>h|aɪ>igh|w>w|eɪ>ay
highways h>h|aɪ>igh|w>w|eɪ>ay|z>s
hijacked h>h|aɪ>i|dʒ>j|æ>a|k>ck|t>ed
hijackers h>h|aɪ>i|dʒ>j|æ>a|k>ck|ɝ>er|z>s
hijacking h>h|aɪ>i|dʒ>j|æ>a|k>ck|ɪ>i|ŋ>ng
hike h>h|aɪ>i|k>ke
hiked h>h|aɪ>i|k>ke|t>d
hiker h>h|aɪ>i|k>k|ɝ>er
hikers h>h|aɪ>i|k>k|ɝ>er|z>s
hikes h>h|aɪ>i|k>ke|s>s
hiking h>h|aɪ>i|k>k|ɪ>i|ŋ>ng
hilarious h>h|ɪ>i|l>l|ɛ>a|r>r|i>i|ʌ>ou|s>s
hilarity h>h|ɪ>i|l>l|ɛ>a|r>r|ɪ>i|t>t|i>y
hilary h>h|ɪ>i|l>l|ɝ>ar|i>y
hilbert h>h|ɪ>i|l>l|b>b|ɝ>er|t>t
hilda h>h|ɪ>i|l>l|d>d|ʌ>a
hilde h>h|ɪ>i|l>l|d>de
hildebrand h>h|ɪ>i|l>l|d>d|ɪ>e|b>b|r>r|æ>a|n>n|d>d
hildebrandt h>h|ɪ>i|l>l|d>d|ɪ>e|b>b|r>r|ʌ>a|n>n|t>dt
hildegard h>h|ɪ>i|l>l|d>d|ɛ>e|g>g|ɑ>a|r>r|d>d
hildreth h>h|ɪ>i|l>l|d>d|r>r|ɪ>e|θ>th
hill h>h|ɪ>i|l>ll
hillary h>h|ɪ>i|l>ll|ɝ>ar|i>y
hillbilly h>h|ɪ>i|l>ll|b>b|ɪ>i|l>ll|i>y
hillel h>h|ɪ>i|l>ll|ɛ>e|l>l
hiller h>h|ɪ>i|l>ll|ɝ>er
hilliard h>h|ɪ>i|l>ll|j>i|ɑ>a|r>r|d>d
hillier h>h|ɪ>i|l>ll|i>i|ɝ>er
hillis h>h|ɪ>i|l>ll|ɪ>i|s>s
hillman h>h|ɪ>i|l>ll|m>m|æ>a|n>n
hillock h>h|ɪ>i|l>ll|ʌ>o|k>ck
hills h>h|ɪ>i|l>ll|z>s
hillsboro h>h|ɪ>i|l>ll|z>s|b>b|ɝ>or|oʊ>o
hillsborough h>h|ɪ>i|l>ll|z>s|b>b|ɝ>or|oʊ>ough
hillsdale h>h|ɪ>i|l>ll|z>s|d>d|eɪ>a|l>le
hillside h>h|ɪ>i|l>ll|s>s|aɪ>i|d>de
hillsides h>h|ɪ>i|l>ll|s>s|aɪ>i|d>de|z>s
hilltop h>h|ɪ>i|l>ll|t>t|ɑ>o|p>p
hilltops h>h|ɪ>i|l>ll|t>t|ɑ>o|p>p|s>s
hilly h>h|ɪ>i|l>ll|i>y
hilo h>h|i>i|l>l|oʊ>o
hilt h>h|ɪ>i|l>l|t>t
hilton h>h|ɪ>i|l>l|t>t|ʌ>o|n>n
him h>h|ɪ>i|m>m
himalaya h>h|ɪ>i|m>m|ʌ>a|l>l|eɪ>ay|ʌ>a
himalayan h>h|ɪ>i|m>m|ʌ>a|l>l|eɪ>ay|ʌ>a|n>n
himalayas h>h|ɪ>i|m>m|ʌ>a|l>l|eɪ>ay|ʌ>a|s>s
himes h>h|aɪ>i|m>me|z>s
himmel h>h|ɪ>i|m>mm|ɛ>e|l>l
himmler h>h|ɪ>i|m>mm|l>l|ɝ>er
himself h>h|ɪ>i|m>m|s>s|ɛ>e|l>l|f>f
hinckley h>h|ɪ>i|ŋ>n|k>ck|l>l|i>ey
hind h>h|aɪ>i|n>n|d>d
hinde h>h|ɪ>i|n>n|d>de
hinder h>h|ɪ>i|n>n|d>d|ɝ>er
hindered h>h|ɪ>i|n>n|d>d|ɝ>er|d>ed
hindering h>h|ɪ>i|n>n|d>d|ɝ>er|ɪ>i|ŋ>ng
hinders h>h|ɪ>i|n>n|d>d|ɝ>er|z>s
hindi h>h|ɪ>i|n>n|d>d|i>i
hindquarters h>h|aɪ>i|n>n|d>d|k>qu|ɔ>a|r>r|t>t|ɝ>er|z>s
hindrance h>h|ɪ>i|n>n|d>d|r>r|ʌ>a|n>n|s>ce
hindrances h>h|ɪ>i|n>n|d>d|r>r|ʌ>a|n>n|s>c|ɪ>e|z>s
hinds h>h|aɪ>i|n>n|d>d|z>s
hindsight h>h|aɪ>i|n>n|d>d|s>s|aɪ>igh|t>t
hindu h>h|ɪ>i|n>n|d>d|u>u
hinduism h>h|ɪ>i|n>n|dʒ>d|u>u|ɪ>i|z>s|ʌ;m>m
hindus h>h|ɪ>i|n>n|d>d|u>u|z>s
hindustan h>h|ɪ>i|n>n|d>d|u>u|s>s|t>t|æ>a|n>n
hine h>h|aɪ>i|n>ne
hines h>h|aɪ>i|n>ne|z>s
hing h>h|ɪ>i|ŋ>ng
hinge h>h|ɪ>i|n>n|dʒ>ge
hinged h>h|ɪ>i|n>n|dʒ>ge|d>d
hinges h>h|ɪ>i|n>n|dʒ>g|ɪ>e|z>s
hinkle h>h|ɪ>i|ŋ>n|k>k|ʌ;l>le
hinman h>h|ɪ>i|n>n|m>m|ʌ>a|n>n
hint h>h|ɪ>i|n>n|t>t
hinted h>h|ɪ>i|n>n|t>t|ɪ>e|d>d
hinterland h>h|ɪ>i|n>n|t>t|ɝ>er|l>l|æ>a|n>n|d>d
hinterlands h>h|ɪ>i|n>n|t>t|ɝ>er|l>l|æ>a|n>n|d>d|z>s
hinting h>h|ɪ>i|n>n|t>t|ɪ>i|ŋ>ng
hinton h>h|ɪ>i|n>n|t>t|ʌ>o|n>n
hints h>h|ɪ>i|n>n|t>t|s>s
hip h>h|ɪ>i|p>p
hippie h>h|ɪ>i|p>pp|i>ie
hippies h>h|ɪ>i|p>pp|i>ie|z>s
hippo h>h|ɪ>i|p>pp|oʊ>o
hippocrates h>h|ɪ>i|p>pp|ʌ>o|k>c|r>r|eɪ>a|t>te|s>s
hippocratic h>h|ɪ>i|p>pp|ʌ>o|k>c|r>r|æ>a|t>t|ɪ>i|k>c
hippodrome h>h|ɪ>i|p>pp|ʌ>o|d>d|r>r|oʊ>o|m>me
hippolytus h>h|ɪ>i|p>pp|ɑ>o|l>l|ɪ>y|t>t|ʌ>u|s>s
hippopotamus h>h|ɪ>i|p>pp|ʌ>o|p>p|ɑ>o|t>t|ʌ>a|m>m|ʌ>u|s>s
hips h>h|ɪ>i|p>p|s>s
hiram h>h|aɪ>i|r>r|ʌ>a|m>m
hirano h>h|ɪ>i|r>r|ɑ>a|n>n|oʊ>o
hirata h>h|ɪ>i|r>r|ɑ>a|t>t|ʌ>a
hire h>h|aɪ>i|ɝ>re
hired h>h|aɪ>i|ɝ>re|d>d
hires h>h|aɪ>i|ɝ>re|z>s
hiring h>h|aɪ>i|r>r|ɪ>i|ŋ>ng
hirohito h>h|ɪ>i|r>r|oʊ>o|h>h|i>i|t>t|oʊ>o
hiroshi h>h|ɪ>i|r>r|oʊ>o|ʃ>sh|i>i
hiroshima h>h|ɪ>i|r>r|oʊ>o|ʃ>sh|ɪ>i|m>m|ʌ>a
hirsch h>h|ɝ>ir|ʃ>sch
hirschfeld h>h|ɝ>ir|ʃ>sch|f>f|ɛ>e|l>l|d>d
hirschman h>h|ɝ>ir|ʃ>sch|m>m|ʌ>a|n>n
hirsh h>h|ɝ>ir|ʃ>sh
hirst h>h|ɝ>ir|s>s|t>t
hirth h>h|ɝ>ir|θ>th
his h>h|ɪ>i|z>s
hispanic h>h|ɪ>i|s>s|p>p|æ>a|n>n|ɪ>i|k>c
hispanics h>h|ɪ>i|s>s|p>p|æ>a|n>n|ɪ>i|k>c|s>s
hispano h>h|ɪ>i|s>s|p>p|ɑ>a|n>n|oʊ>o
hiss h>h|ɪ>i|s>ss
hissed h>h|ɪ>i|s>ss|t>ed
hisself h>h|ɪ>i|s>ss|ɛ>e|l>l|f>f
hisses h>h|ɪ>i|s>ss|ɪ>e|z>s
hissing h>h|ɪ>i|s>ss|ɪ>i|ŋ>ng
histadrut h>h|ɪ>i|s>s|t>t|ʌ>a|d>d|r>r|ʌ>u|t>t
histamine h>h|ɪ>i|s>s|t>t|ʌ>a|m>m|i>i|n>ne
histidine h>h|ɪ>i|s>s|t>t|ɪ>i|d>d|i>i|n>ne
histogram h>h|ɪ>i|s>s|t>t|ʌ>o|g>g|r>r|æ>a|m>m
histograms h>h|ɪ>i|s>s|t>t|ʌ>o|g>g|r>r|æ>a|m>m|z>s
histology h>h|ɪ>i|s>s|t>t|ɑ>o|l>l|ʌ>o|dʒ>g|i>y
historian h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|i>i|ʌ>a|n>n
historians h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|i>i|ʌ>a|n>n|z>s
historic h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|ɪ>i|k>c
historical h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|ɪ>i|k>c|ʌ>a|l>l
historically h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|ɪ>i|k>c|ʌ>a|l>ll|i>y
histories h>h|ɪ>i|s>s|t>t|ɝ>or|i>ie|z>s
historiography h>h|ɪ>i|s>s|t>t|ɔ>o|r>r|i>i|ɑ>o|g>g|r>r|ʌ>a|f>ph|i>y
history h>h|ɪ>i|s>s|t>t|ɝ>or|i>y
histrionic h>h|ɪ>i|s>s|t>t|r>r|i>i|ɑ>o|n>n|ɪ>i|k>c
hit h>h|ɪ>i|t>t
hitachi h>h|ɪ>i|t>t|ɑ>a|tʃ>ch|i>i
hitch h>h|ɪ>i|tʃ>tch
hitchcock h>h|ɪ>i|tʃ>tch|k>c|ɑ>o|k>ck
hitched h>h|ɪ>i|tʃ>tch|t>ed
hitches h>h|ɪ>i|tʃ>tch|ɪ>e|z>s
hitchhiking h>h|ɪ>i|tʃ>tch|h>h|aɪ>i|k>k|ɪ>i|ŋ>ng
hitching h>h|ɪ>i|tʃ>tch|ɪ>i|ŋ>ng
hite h>h|aɪ>i|t>te
hither h>h|ɪ>i|ð>th|ɝ>er
hitherto h>h|ɪ>i|ð>th|ɝ>er|t>t|u>o
hitler h>h|ɪ>i|t>t|l>l|ɝ>er
hits h>h|ɪ>i|t>t|s>s
hitter h>h|ɪ>i|t>tt|ɝ>er
hitters h>h|ɪ>i|t>tt|ɝ>er|z>s
hitting h>h|ɪ>i|t>tt|ɪ>i|ŋ>ng
hittite h>h|ɪ>i|t>tt|aɪ>i|t>te
hiv h>h|i>i|v>v
hive h>h|aɪ>i|v>ve
hives h>h|aɪ>i|v>ve|z>s
hmong h>h|m>m|ɔ>o|ŋ>ng
ho h>h|oʊ>o
hoagland h>h|oʊ>oa|g>g|l>l|ʌ>a|n>n|d>d
hoang h>h|oʊ>oa|ŋ>ng
hoar h>h|ɔ>oa|r>r
hoard h>h|ɔ>oa|r>r|d>d
hoarded h>h|ɔ>oa|r>r|d>d|ɪ>e|d>d
hoarding h>h|ɔ>oa|r>r|d>d|ɪ>i|ŋ>ng
hoards h>h|ɔ>oa|r>r|d>d|z>s
hoare h>h|ɔ>oa|r>re
hoarse h>h|ɔ>oa|r>r|s>se
hoarseness h>h|ɔ>oa|r>r|s>se|n>n|ɛ>e|s>ss
hoary h>h|ɔ>oa|r>r|i>y
hoax h>h|oʊ>oa|k;s>x
hob h>h|ɑ>o|b>b
hobart h>h|oʊ>o|b>b|ɑ>a|r>r|t>t
hobbes h>h|ɑ>o|b>bb|z>es
hobbies h>h|ɑ>o|b>bb|i>ie|z>s
hobble h>h|ɑ>o|b>bb|ʌ;l>le
hobbled h>h|ɑ>o|b>bb|ʌ;l>le|d>d
hobbling h>h|ɑ>o|b>bb|l>l|ɪ>i|ŋ>ng
hobbs h>h|ɑ>o|b>bb|z>s
hobby h>h|ɑ>o|b>bb|i>y
hobo h>h|oʊ>o|b>b|oʊ>o
hoboken h>h|oʊ>o|b>b|oʊ>o|k>k|ɛ>e|n>n
hobsbawm h>h|ɑ>o|b>b|s>s|b>b|ɔ>aw|m>m
hobson h>h|ɑ>o|b>b|s>s|ʌ>o|n>n
hoc h>h|ɑ>o|k>c
hoch h>h|ɑ>o|k>ch
hochberg h>h|ɑ>o|k>ch|b>b|ɝ>er|g>g
hock h>h|ɑ>o|k>ck
hockett h>h|ɑ>o|k>ck|ɪ>e|t>tt
hockey h>h|ɑ>o|k>ck|i>ey
hocking h>h|ɑ>o|k>ck|ɪ>i|ŋ>ng
hodder h>h|ɑ>o|d>dd|ɝ>er
hodge h>h|ɑ>o|dʒ>dge
hodgepodge h>h|ɑ>o|dʒ>dge|p>p|ɑ>o|dʒ>dge
hodges h>h|ɑ>o|dʒ>dg|ɪ>e|z>s
hodgkin h>h|ɑ>o|dʒ>dg|k>k|ɪ>i|n>n
hodgkinson h>h|ɑ>o|dʒ>dg|k>k|ɪ>i|n>n|s>s|ʌ>o|n>n
hodgson h>h|ɑ>o|dʒ>dg|s>s|ʌ>o|n>n
hodson h>h|ɑ>o|d>d|s>s|ʌ>o|n>n
hoe h>h|oʊ>oe
hoechst h>h|oʊ>oe|k>ch|s>s|t>t
hoeing h>h|oʊ>oe|ɪ>i|ŋ>ng
hoek h>h|oʊ>oe|k>k
hoes h>h|oʊ>oe|z>s
hof h>h|ɑ>o|f>f
hofer h>h|oʊ>o|f>f|ɝ>er
hoff h>h|ɔ>o|f>ff
hoffa h>h|ɔ>o|f>ff|ʌ>a
hoffer h>h|ɑ>o|f>ff|ɝ>er
hoffman h>h|ɔ>o|f>ff|m>m|ʌ>a|n>n
hoffmann h>h|ɔ>o|f>ff|m>m|ʌ>a|n>nn
hofmann h>h|ɑ>o|f>f|m>m|ʌ>a|n>nn
hog h>h|ɑ>o|g>g
hogan h>h|oʊ>o|g>g|ʌ>a|n>n
hogarth h>h|oʊ>o|g>g|ɑ>a|r>r|θ>th
hoge h>h|oʊ>o|dʒ>ge
hogg h>h|ɑ>o|g>gg
hogs h>h|ɑ>o|g>g|z>s
hoi h>h|ɔɪ>oi
hoist h>h|ɔɪ>oi|s>s|t>t
hoisted h>h|ɔɪ>oi|s>s|t>t|ɪ>e|d>d
hoisting h>h|ɔɪ>oi|s>s|t>t|ɪ>i|ŋ>ng
hoists h>h|ɔɪ>oi|s>s|t>t|s>s
hoke h>h|oʊ>o|k>ke
hokkaido h>h|oʊ>o|k>kk|aɪ>ai|d>d|oʊ>o
holbein h>h|oʊ>o|l>l|b>b|aɪ>ei|n>n
holbrook h>h|oʊ>o|l>l|b>b|r>r|ʊ>oo|k>k
holcomb h>h|oʊ>o|l>l|k>c|ʌ>o|m>mb
holcombe h>h|oʊ>o|l>l|k>c|ʌ>o|m>mbe
hold h>h|oʊ>o|l>l|d>d
holden h>h|oʊ>o|l>l|d>d|ɛ>e|n>n
holder h>h|oʊ>o|l>l|d>d|ɝ>er
holders h>h|oʊ>o|l>l|d>d|ɝ>er|z>s
holding h>h|oʊ>o|l>l|d>d|ɪ>i|ŋ>ng
holdings h>h|oʊ>o|l>l|d>d|ɪ>i|ŋ>ng|z>s
holds h>h|oʊ>o|l>l|d>d|z>s
holdsworth h>h|oʊ>o|l>l|d>d|z>s|w>w|ɝ>or|θ>th
holdup h>h|oʊ>o|l>l|d>d|ʌ>u|p>p
hole h>h|oʊ>o|l>le
holed h>h|oʊ>o|l>le|d>d
holes h>h|oʊ>o|l>le|z>s
holiday h>h|ɑ>o|l>l|ɪ>i|d>d|eɪ>ay
holidays h>h|ɑ>o|l>l|ɪ>i|d>d|eɪ>ay|z>s
holier h>h|oʊ>o|l>l|i>i|ɝ>er
holiest h>h|oʊ>o|l>l|i>i|ɪ>e|s>s|t>t
holiness h>h|oʊ>o|l>l|i>i|n>n|ɛ>e|s>ss
holistic h>h|oʊ>o|l>l|ɪ>i|s>s|t>t|ɪ>i|k>c
holl h>h|ɑ>o|l>ll
holland h>h|ɑ>o|l>ll|ʌ>a|n>n|d>d
hollander h>h|ɑ>o|l>ll|ʌ>a|n>n|d>d|ɝ>er
hollanders h>h|ɑ>o|l>ll|ʌ>a|n>n|d>d|ɝ>er|z>s
holler h>h|ɑ>o|l>ll|ɝ>er
hollered h>h|ɑ>o|l>ll|ɝ>er|d>ed
hollering h>h|ɑ>o|l>ll|ɝ>er|ɪ>i|ŋ>ng
holley h>h|ɑ>o|l>ll|i>ey
holliday h>h|ɑ>o|l>ll|ɪ>i|d>d|eɪ>ay
hollinger h>h|ɑ>o|l>ll|ɪ>i|ŋ>ng|ɝ>er
hollingshead h>h|ɑ>o|l>ll|ɪ>i|ŋ>ng|z>s|h>h|ɛ>ea|d>d
hollingsworth h>h|ɑ>o|l>ll|ɪ>i|ŋ>ng|z>s|w>w|ɝ>or|θ>th
hollis h>h|ɑ>o|l>ll|ɪ>i|s>s
hollister h>h|ɑ>o|l>ll|ɪ>i|s>s|t>t|ɝ>er
hollow h>h|ɑ>o|l>ll|oʊ>ow
holloway h>h|ɑ>o|l>ll|oʊ>o|w>w|eɪ>ay
hollowed h>h|ɑ>o|l>ll|oʊ>ow|d>ed
hollows h>h|ɑ>o|l>ll|oʊ>ow|z>s
holly h>h|ɑ>o|l>ll|i>y
hollywood h>h|ɑ>o|l>ll|i>y|w>w|ʊ>oo|d>d
holm h>h|oʊ>ol|m>m
holman h>h|ɑ>o|l>l|m>m|ʌ>a|n>n
holmberg h>h|oʊ>o|l>l|m>m|b>b|ɝ>er|g>g
holme h>h|oʊ>o|l>l|m>me
holmes h>h|oʊ>o|l>l|m>me|z>s
holmgren h>h|oʊ>o|l>l|m>m|g>g|r>r|ɛ>e|n>n
holocaust h>h|ɑ>o|l>l|ʌ>o|k>c|ɔ>au|s>s|t>t
hologram h>h|ɑ>o|l>l|ʌ>o|g>g|r>r|æ>a|m>m
holograms h>h|ɑ>o|l>l|ʌ>o|g>g|r>r|æ>a|m>m|z>s
holographic h>h|ɑ>o|l>l|ʌ>o|g>g|r>r|æ>a|f>ph|ɪ>i|k>c
holroyd h>h|oʊ>o|l>l|r>r|ɔɪ>oy|d>d
holstein h>h|oʊ>o|l>l|s>s|t>te|i>i|n>n
holster h>h|oʊ>o|l>l|s>s|t>t|ɝ>er
holt h>h|oʊ>o|l>l|t>t
holter h>h|oʊ>o|l>l|t>t|ɝ>er
holton h>h|oʊ>o|l>l|t>t|ʌ>o|n>n
holtz h>h|oʊ>o|l>l|t>t|s>z
holtzman h>h|oʊ>o|l>l|t>t|s>z|m>m|ʌ>a|n>n
holy h>h|oʊ>o|l>l|i>y
holyoke h>h|oʊ>o|l>l|i>y|oʊ>o|k>ke
holz h>h|oʊ>o|l>l|z>z
holzer h>h|oʊ>o|l>l|z>z|ɝ>er
hom h>h|ɑ>o|m>m
homage h>h|ɑ>o|m>m|ʌ>a|dʒ>ge
homans h>h|oʊ>o|m>m|ʌ>a|n>n|z>s
hombre h>h|ɑ>o|m>m|b>b|r>r|ʌ>e
homburg h>h|ɑ>o|m>m|b>b|ɝ>ur|g>g
home h>h|oʊ>o|m>me
homebound h>h|oʊ>o|m>me|b>b|aʊ>ou|n>n|d>d
homecoming h>h|oʊ>o|m>me|k>c|ʌ>o|m>m|ɪ>i|ŋ>ng
homegrown h>h|oʊ>o|m>me|g>g|r>r|oʊ>ow|n>n
homeland h>h|oʊ>o|m>me|l>l|æ>a|n>n|d>d
homelands h>h|oʊ>o|m>me|l>l|æ>a|n>n|d>d|z>s
homeless h>h|oʊ>o|m>me|l>l|ɛ>e|s>ss
homelessness h>h|oʊ>o|m>me|l>l|ɛ>e|s>ss|n>n|ɛ>e|s>ss
homely h>h|oʊ>o|m>me|l>l|i>y
homemade h>h|oʊ>o|m>me|m>m|eɪ>a|d>de
homemaker h>h|oʊ>o|m>me|m>m|eɪ>a|k>k|ɝ>er
homemakers h>h|oʊ>o|m>me|m>m|eɪ>a|k>k|ɝ>er|z>s
homemaking h>h|oʊ>o|m>me|m>m|eɪ>a|k>k|ɪ>i|ŋ>ng
homeopathic h>h|oʊ>o|m>m|i>e|oʊ>o|p>p|æ>a|θ>th|ɪ>i|k>c
homeopathy h>h|oʊ>o|m>m|i>e|oʊ>o|p>p|æ>a|θ>th|i>y
homeostasis h>h|oʊ>o|m>m|i>e|oʊ>o|s>s|t>t|eɪ>a|s>s|ɪ>i|s>s
homeostatic h>h|oʊ>o|m>m|i>e|oʊ>o|s>s|t>t|æ>a|t>t|ɪ>i|k>c
homeowner h>h|oʊ>o|m>me|oʊ>ow|n>n|ɝ>er
homeowners h>h|oʊ>o|m>me|oʊ>ow|n>n|ɝ>er|z>s
homeownership h>h|oʊ>o|m>me|oʊ>ow|n>n|ɝ>er|ʃ>sh|ɪ>i|p>p
homer h>h|oʊ>o|m>m|ɝ>er
homeric h>h|oʊ>o|m>m|ɛ>e|r>r|ɪ>i|k>c
homers h>h|oʊ>o|m>m|ɝ>er|z>s
homes h>h|oʊ>o|m>me|z>s
homesick h>h|oʊ>o|m>me|s>s|ɪ>i|k>ck
homesickness h>h|oʊ>o|m>me|s>s|ɪ>i|k>ck|n>n|ɛ>e|s>ss
homespun h>h|oʊ>o|m>me|s>s|p>p|ʌ>u|n>n
homestead h>h|oʊ>o|m>me|s>s|t>t|ɛ>ea|d>d
homesteaders h>h|oʊ>o|m>me|s>s|t>t|ɛ>ea|d>d|ɝ>er|z>s
hometown h>h|oʊ>o|m>me|t>t|aʊ>ow|n>n
homeward h>h|oʊ>o|m>me|w>w|ɝ>ar|d>d
homewood h>h|oʊ>o|m>me|w>w|ʊ>oo|d>d
homework h>h|oʊ>o|m>me|w>w|ɝ>or|k>k
homey h>h|oʊ>o|m>m|i>ey
homicidal h>h|ɑ>o|m>m|ɪ>i|s>c|aɪ>i|d>d|ʌ>a|l>l
homicide h>h|ɑ>o|m>m|ɪ>i|s>c|aɪ>i|d>de
homicides h>h|ɑ>o|m>m|ɪ>i|s>c|aɪ>i|d>de|z>s
homiletic h>h|ɑ>o|m>m|ɪ>i|l>l|ɛ>e|t>t|ɪ>i|k>c
homilies h>h|oʊ>o|m>m|ɪ>i|l>l|i>ie|z>s
homily h>h|ɑ>o|m>m|ɪ>i|l>l|i>y
hominem h>h|ɑ>o|m>m|ɪ>i|n>n|ɛ>e|m>m
homing h>h|oʊ>o|m>m|ɪ>i|ŋ>ng
hominid h>h|ɑ>o|m>m|ɪ>i|n>n|ɪ>i|d>d
homme h>h|ɑ>o|m>mme
hommes h>h|ɑ>o|m>mme|z>s
homo h>h|oʊ>o|m>m|oʊ>o
homogeneity h>h|ɑ>o|m>m|ʌ>o|dʒ>g|ɛ>e|n>n|i>e|ɪ>i|t>t|i>y
homogeneous h>h|oʊ>o|m>m|ʌ>o|dʒ>g|i>e|n>n|i>e|ʌ>ou|s>s
homogenization h>h|oʊ>o|m>m|ɑ>o|dʒ>g|ɛ>e|n>n|ɪ>i|z>z|eɪ>a|ʃ>ti|ʌ>o|n>n
